i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
82,4311.997627918537,-484.8330389560797,581.9795752403062,0.0,0.0,0.0,267.331787109375,276.08740234375,298.73126220703125,1.0,1.0,1.0
83,7379.919258777912,3641.1488946376703,2040.170676314525,0.0,0.0,0.0,163.77392578125,171.5380859375,192.9259033203125,1.0,1.0,1.0
84,-6853.133963878338,2524.350921004858,831.9309302207749,0.0,0.0,0.0,206.77099609375,226.8931884765625,251.7364501953125,1.0,1.0,1.0
85,-5905.631766612713,1928.4089044032953,571.1746435996812,0.0,0.0,0.0,182.297607421875,161.795654296875,170.65496826171875,1.0,1.0,1.0
86,-6278.432059581463,-958.9834295810797,-252.5826043251235,0.0,0.0,0.0,655.490478515625,678.70703125,595.8775482177734,1.0,1.0,1.0
87,3886.3152548716616,-933.4807440342047,-247.90688411027975,0.0,0.0,0.0,520.87841796875,606.831298828125,635.7499847412109,1.0,1.0,1.0
88,73.77942723494311,-2549.0981756748297,-544.1919335487562,0.0,0.0,0.0,452.43450927734375,501.3310546875,536.4650268554688,1.0,1.0,1.0
89,1254.4337851450994,-4709.90823426858,-2837.258156693288,0.0,0.0,0.0,183.1951904296875,217.59228515625,208.461181640625,1.0,1.0,1.0
90,-1275.1645768238948,1726.2106622157953,-1970.9866112831312,0.0,0.0,0.0,231.3482322692871,250.577880859375,250.12945556640625,1.0,1.0,1.0
91,3748.8037802622866,2508.772307723608,-514.6151169899184,0.0,0.0,0.0,165.547119140625,158.3919677734375,134.1156883239746,1.0,1.0,1.0
92,-990.099883372967,-1342.8335272373297,203.86485966413434,0.0,0.0,0.0,240.2946548461914,252.1689453125,241.27371215820312,1.0,1.0,1.0
93,-4029.849417979901,2026.3559258876703,-10.388253128834398,0.0,0.0,0.0,165.2247314453125,143.560546875,144.61502075195312,1.0,1.0,1.0
94,-5562.392997081463,2976.005950301733,-85.53415004045543,0.0,0.0,0.0,176.488525390625,210.1737060546875,211.02202606201172,1.0,1.0,1.0
95,1931.4502646372869,991.3339532314203,2143.0357886192123,0.0,0.0,0.0,207.49169921875,217.6396484375,208.1220703125,1.0,1.0,1.0
96,613.8809286997869,1875.1239922939203,-263.94725314409317,0.0,0.0,0.0,257.50634765625,307.4970703125,275.8117160797119,1.0,1.0,1.0
97,-1699.9614937855647,789.7729180751703,1826.4018774863991,0.0,0.0,0.0,247.9042205810547,302.05615234375,286.5523681640625,1.0,1.0,1.0
98,2076.5611044810366,1050.1427911220453,1594.9367895957746,0.0,0.0,0.0,314.283203125,277.579345703125,273.4219970703125,1.0,1.0,1.0
99,613.8810507700994,4804.992888778295,1754.1035376426498,0.0,0.0,0.0,257.50634765625,313.2088623046875,298.5653076171875,1.0,1.0,1.0
100,3748.8040244029116,5383.032012313452,1393.249594771556,0.0,0.0,0.0,165.54736328125,172.08978271484375,137.49224853515625,1.0,1.0,1.0
101,-1275.1643946721003,4350.605376571264,101.92601689069683,0.0,0.0,0.0,231.3482313156128,250.37762451171875,234.30258178710938,1.0,1.0,1.0
102,1254.4340292857244,-2136.1997381748297,410.8148718711656,0.0,0.0,0.0,183.1951904296875,218.080078125,198.30795288085938,1.0,1.0,1.0
103,73.77967137556811,402.7900079189203,2276.4996558067123,0.0,0.0,0.0,452.43450927734375,546.44921875,564.033447265625,1.0,1.0,1.0
104,3886.3154990122866,2045.3505547939203,2276.498801314525,0.0,0.0,0.0,520.878662109375,630.53515625,622.5150146484375,1.0,1.0,1.0
105,2076.5608603404116,-1789.4233709873297,-1097.805138504811,0.0,0.0,0.0,314.283203125,277.2802734375,299.70851135253906,1.0,1.0,1.0
106,-1699.9617379261897,-2087.2749334873297,-917.1024102333265,0.0,0.0,0.0,247.9042205810547,297.6904296875,267.30015563964844,1.0,1.0,1.0
107,1931.4500204966619,-1946.1347967685797,-569.3047265175063,0.0,0.0,0.0,207.49169921875,219.43505859375,223.31427001953125,1.0,1.0,1.0
108,-6278.431571300213,2019.4226983486078,2276.499777877025,0.0,0.0,0.0,655.490478515625,669.9534912109375,632.9971923828125,1.0,1.0,1.0
109,2730.015572254474,428.4152520595453,2276.4994116660873,0.0,0.0,0.0,610.5174560546875,508.753173828125,548.979248046875,1.0,1.0,1.0
110,-1575.2541211201594,-557.3945623935797,1571.8751440879623,0.0,0.0,0.0,612.2295742034912,590.56591796875,621.16015625,1.0,1.0,1.0
111,629.4444052622869,-2267.7749334873297,1218.0943823692123,0.0,0.0,0.0,508.91259765625,584.1220703125,544.869873046875,1.0,1.0,1.0
112,-6724.676932628338,-386.0754705967047,1218.0944434043686,0.0,0.0,0.0,518.359375,607.333740234375,548.7899780273438,1.0,1.0,1.0
113,1356.4918295786931,2119.1496270595453,2276.4989233848373,0.0,0.0,0.0,647.7321166992188,602.884033203125,648.53369140625,1.0,1.0,1.0
114,-3863.0756142689634,2585.3217462001703,2276.50002201765,0.0,0.0,0.0,646.604248046875,607.42529296875,663.3919677734375,1.0,1.0,1.0
115,-4521.648734386151,1065.2153008876703,2276.499777877025,0.0,0.0,0.0,618.0687255859375,586.76611328125,616.0035400390625,1.0,1.0,1.0
116,6265.692940418537,3266.687102645483,2276.4989233848373,0.0,0.0,0.0,644.661865234375,550.4617919921875,575.602783203125,1.0,1.0,1.0
117,-1012.3272011830256,2846.894133895483,2276.499777877025,0.0,0.0,0.0,563.2179565429688,537.2327880859375,480.1187744140625,1.0,1.0,1.0
118,4325.591622059162,-255.7712713779547,2276.4994116660873,0.0,0.0,0.0,631.49267578125,629.667724609375,554.503662109375,1.0,1.0,1.0
119,5210.568428699787,1525.5058282314203,2276.4989233848373,0.0,0.0,0.0,479.356201171875,439.76123046875,468.4599609375,1.0,1.0,1.0
120,-5562.392997081463,407.9733575282953,-2403.322914994069,0.0,0.0,0.0,176.488525390625,191.773193359375,198.76922607421875,1.0,1.0,1.0
121,-4029.849662120526,-539.6543280185797,-2500.70798579485,0.0,0.0,0.0,165.2247314453125,157.33544921875,157.4915771484375,1.0,1.0,1.0
122,5981.846504871662,-1262.0932928623297,1961.647543990306,0.0,0.0,0.0,592.0166015625,617.5859375,666.4573364257812,1.0,1.0,1.0
123,-5401.320975597088,-208.4424139560797,2276.5003882285873,0.0,0.0,0.0,524.89013671875,532.4423828125,617.380615234375,1.0,1.0,1.0
124,6178.939034168537,-203.0027166904547,2276.499289595775,0.0,0.0,0.0,582.004638671875,611.395751953125,600.3541259765625,1.0,1.0,1.0
125,-2718.069876964276,-1302.8027655185797,2276.5005102989,0.0,0.0,0.0,519.0445556640625,572.02392578125,601.4420166015625,1.0,1.0,1.0
126,-990.1001580311702,-3892.2265936435797,-2897.7057885292256,0.0,0.0,0.0,240.2946548461914,257.54248046875,230.5882568359375,1.0,1.0,1.0
127,3267.086861316974,4980.075103133764,2276.4985571739,0.0,0.0,0.0,611.4876708984375,640.4473266601562,617.3416748046875,1.0,1.0,1.0
128,4209.451485340412,-1964.9604803623297,1218.0940161582748,0.0,0.0,0.0,556.64599609375,505.705078125,446.8856201171875,1.0,1.0,1.0
129,4562.890206043537,-20.23904481545469,-136.58213893205703,0.0,0.0,0.0,313.161865234375,270.620849609375,328.8183059692383,1.0,1.0,1.0
130,-6795.736502940838,1321.2045587001703,-1030.5524605873306,0.0,0.0,0.0,256.51171875,226.697265625,252.55292510986328,1.0,1.0,1.0
131,-3395.4379189564634,-4620.32620301858,-1746.0815819862562,0.0,0.0,0.0,181.22216796875,185.25927734375,175.80584716796875,1.0,1.0,1.0
132,-7358.113700206463,338.2353204189203,-1497.3390893104747,0.0,0.0,0.0,168.517822265625,154.48974609375,167.2193603515625,1.0,1.0,1.0
133,919.2674643443181,400.7963555751703,-500.65696040422506,0.0,0.0,0.0,229.92864990234375,275.1953125,270.0259094238281,1.0,1.0,1.0
134,-1095.553511913006,-611.7212225498297,-1288.7922753456314,0.0,0.0,0.0,200.15946197509766,201.6669921875,189.23223876953125,1.0,1.0,1.0
135,-5877.303153331463,-3153.3877264560797,-1845.4438866737562,0.0,0.0,0.0,237.371826171875,197.97021484375,236.75531005859375,1.0,1.0,1.0
136,4402.532540027912,-4365.86135926858,-1144.3857812050062,0.0,0.0,0.0,157.21923828125,155.39111328125,150.44097900390625,1.0,1.0,1.0
137,-7141.252127940838,-4671.20266786233,-2146.9372338417256,0.0,0.0,0.0,232.4912109375,202.75390625,209.13671875,1.0,1.0,1.0
138,-8429.027274425212,-3617.4214178623297,-2408.099831497975,0.0,0.0,0.0,193.034423828125,173.646484375,216.3443603515625,1.0,1.0,1.0
139,-5758.349784190838,-3798.8232733310797,-3910.6589135292256,0.0,0.0,0.0,132.5263671875,160.84912109375,155.8311767578125,1.0,1.0,1.0
140,-7637.473563487713,-4064.2568670810797,-2304.854409134694,0.0,0.0,0.0,200.157958984375,208.93115234375,204.95391845703125,1.0,1.0,1.0
141,251.3490073130681,2264.0031426845453,-893.6016492012221,0.0,0.0,0.0,282.23651123046875,261.783447265625,292.31117057800293,1.0,1.0,1.0
142,6232.768135731037,1208.1020196376703,-123.25624171526013,0.0,0.0,0.0,298.432861328125,264.5009765625,285.87223052978516,1.0,1.0,1.0
143,7678.019356434162,1047.0331719814203,-569.2529839637953,0.0,0.0,0.0,126.484375,144.82177734375,158.82394409179688,1.0,1.0,1.0
144,5966.706612293537,1113.3085626064203,-995.4688042762953,0.0,0.0,0.0,251.027099609375,261.498046875,296.03770446777344,1.0,1.0,1.0
145,-2283.864066417401,1756.6584161220453,-992.2208184364517,0.0,0.0,0.0,138.449462890625,168.491943359375,176.02537536621094,1.0,1.0,1.0
146,-8306.419120128337,722.7465508876703,-1523.3934716346935,0.0,0.0,0.0,284.64892578125,285.54833984375,261.77117919921875,1.0,1.0,1.0
147,-5905.632010753338,-740.8967596592047,-1946.352211869069,0.0,0.0,0.0,182.29736328125,167.022705078125,159.71759033203125,1.0,1.0,1.0
148,-6853.133963878338,-201.7661444248297,-1582.3767480018814,0.0,0.0,0.0,206.77099609375,223.01416015625,253.61749267578125,1.0,1.0,1.0
149,7379.919258777912,678.7692559657953,-192.50733271867819,0.0,0.0,0.0,163.77392578125,177.268798828125,190.41567993164062,1.0,1.0,1.0
150,4311.997139637287,-3116.5039373935797,-2371.0267113807877,0.0,0.0,0.0,267.331787109375,252.87255859375,293.167724609375,1.0,1.0,1.0
151,-6307.817801768963,-1276.1072088779547,-1567.357582962819,0.0,0.0,0.0,177.044677734375,186.373291015625,155.86737060546875,1.0,1.0,1.0
152,6450.972481434162,-4071.2114569248297,-1203.3990410927015,0.0,0.0,0.0,250.23583984375,234.583984375,207.5641326904297,1.0,1.0,1.0
153,-7377.248221690838,-1863.3633123935797,-2046.2788476112564,0.0,0.0,0.0,235.58349609375,268.84228515625,234.39862060546875,1.0,1.0,1.0
154,-2298.4870522572446,-2646.3725897373297,-1943.4349145057877,0.0,0.0,0.0,211.99798583984375,212.306640625,216.1702880859375,1.0,1.0,1.0
155,8583.895821277913,-2255.6846014560797,-1033.4676598671158,0.0,0.0,0.0,267.42236328125,269.74072265625,238.23696899414062,1.0,1.0,1.0
156,-4296.244193370526,1176.0221856532953,-224.9597114685255,0.0,0.0,0.0,299.7989501953125,261.133544921875,314.5248579978943,1.0,1.0,1.0
157,6003.816719715412,-781.9853827060797,-498.70237056047495,0.0,0.0,0.0,192.880859375,195.03466796875,216.90628051757812,1.0,1.0,1.0
158,-828.990622813885,406.4633477626703,-831.3971752289016,0.0,0.0,0.0,302.1951599121094,250.07177734375,294.236713886261,1.0,1.0,1.0
159,1904.4955527232244,1192.3451837001703,-872.9599322441297,0.0,0.0,0.0,273.1019287109375,254.74560546875,297.0942449569702,1.0,1.0,1.0
160,-6971.310477550213,-2414.6474920810797,-1850.4919823768814,0.0,0.0,0.0,180.677001953125,197.69580078125,214.10028076171875,1.0,1.0,1.0
161,-5398.911185558026,-223.9241034092047,-1120.7141656044205,0.0,0.0,0.0,314.8819580078125,285.759033203125,283.31565856933594,1.0,1.0,1.0
162,5747.253243152912,82.26266416892031,-375.735480225392,0.0,0.0,0.0,220.82080078125,182.544921875,219.16357231140137,1.0,1.0,1.0
