i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
162,100.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
163,200.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
164,300.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
165,400.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
166,500.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
167,600.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
168,700.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
169,800.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
170,900.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
171,-900.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
172,-800.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
173,-700.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
174,-600.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
175,-500.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
176,-400.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
177,-300.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
178,-200.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
179,-100.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
180,0.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
181,100.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
182,200.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
183,300.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
184,400.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
185,500.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
186,600.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
187,700.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
188,800.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
189,900.0,0.0,450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
